,job_id,Ca,Mg,job_name,energy_tot,surface_area
0,21817190,8.0,52,Mg_surface_1_3Ca_implicit_relax,-82.93120505,108.01922918587405
1,21817246,0.0,60,Mg_surface_implicit_relax,-74.11988431,108.01922918587405
2,21818208,2.0,58,Mg_surface_1Ca_vacuum_implicit_nck0p0009,-75.22230751,108.01922918587405
3,21818209,0.0,60,Mg_surface_vacuum_implicit_nck0p001_relax,-73.26842383,108.01922918587405
4,21818210,8.0,52,Mg_surface_1_3Ca_vacuum_implicit_nck0p0009,-79.62774854,108.01922918587405
5,21818212,8.0,52,Mg_surface_1_3Ca_relax,-78.14422898,108.01922918587405
6,21818213,0.0,60,Mg_surface_relax,-73.5111515,108.01922918587405
7,21818215,0.0,60,Mg_surface_vacuum_implicit,-73.76350973,108.01922918587405
8,21818218,8.0,52,Mg_surface_1_3Ca_vacuum_implicit_nck0p001_relax,-79.90544395,108.01922918587405
9,21818220,0.0,60,Mg_surface_vacuum_implicit_nck0p0009,-73.18627749,108.01922918587405
10,21818222,2.0,58,Mg_surface_1Ca_vacuum_implicit,-76.55663596,108.01922918587405
11,21818227,2.0,58,Mg_surface_1Ca_vacuum_implicit_nck0p001_relax,-75.81794673,108.01922918587405
12,21818229,8.0,52,Mg_surface_1_3Ca_vacuum_implicit,-82.54988343,108.01922918587405
13,21818232,2.0,58,Mg_1Ca_implicit_symm_relax,-79.8956626,108.01922918587405
14,21818233,2.0,58,Mg_surface_1Ca_relax,-74.58150854,108.01922918587405
